invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date
I131208,dbg6p65ztu,Male,25,Food & Beverage,2,10.46,Credit Card,2021-07-01
I289069,gsthhbhtnk,Female,32,Books,1,15.15,Cash,2022-07-28
I278113,wxvvsjaqce,Female,50,Clothing,4,1200.32,Debit Card,2021-05-21
I288979,v2n2ie35mb,Male,26,Food & Beverage,1,5.23,Credit Card,2021-08-17
I246478,npeibojesh,Female,29,Technology,2,2100.0,Debit Card,2022-05-04
I169435,nvuhdlvz6g,Female,56,Food & Beverage,3,15.69,Cash,2021-11-02
I293220,vlbqfsswl4,Male,67,Food & Beverage,1,5.23,Credit Card,2022-10-23
I398435,x0yjhauiuo,Male,36,Shoes,5,3000.85,Debit Card,2021-04-02
I280299,wwspdokruu,Male,34,Cosmetics,2,81.32,Cash,2022-07-14
I144462,3pzvpbojeg,Female,19,Cosmetics,5,203.3,Cash,2021-03-04
I110286,bswtyoqhrc,Female,31,Souvenir,3,35.19,Cash,2021-06-08
I110713,nkoygf9cy0,Female,27,Clothing,3,900.24,Credit Card,2022-10-11
I138180,jgwg8sjfxb,Female,59,Shoes,3,1800.51,Cash,2021-10-31
I335155,jtuhr8dj56,Female,59,Toys,3,107.52,Cash,2022-06-08
I308045,kopf6rmgot,Female,49,Food & Beverage,1,5.23,Cash,2022-05-18
I162623,ojqoyhucrk,Female,34,Books,2,30.3,Debit Card,2021-04-21
I194665,hobogdzpro,Male,32,Food & Beverage,5,26.15,Credit Card,2023-02-08
I218379,zf6tuszwz1,Female,19,Technology,3,3150.0,Credit Card,2022-05-23
I868939,1dlgvtak87,Male,23,Clothing,3,900.24,Debit Card,2023-02-27
I152272,004ogqeqsj,Female,24,Toys,1,35.84,Debit Card,2022-08-11
I265830,8nhd2o5tev,Male,20,Cosmetics,4,162.64,Cash,2021-07-31
I124248,auk5lcdvic,Female,59,Clothing,5,1500.4,Debit Card,2022-04-20
I192758,tlnvvkcv80,Female,34,Souvenir,2,23.46,Credit Card,2021-06-09
I780302,txipiecsdk,Female,32,Clothing,3,900.24,Credit Card,2021-08-09
I360351,ssg1anesmf,Female,66,Food & Beverage,2,10.46,Credit Card,2022-09-19
I160038,tlkpkafjz4,Male,19,Food & Beverage,3,15.69,Credit Card,2022-12-01
I247620,m8dfxw3n05,Female,57,Clothing,2,600.16,Debit Card,2022-11-15
I100220,ddzomphgdm,Male,25,Clothing,5,1500.4,Cash,2021-05-26
I892484,lcropcm0rn,Female,54,Clothing,1,300.08,Debit Card,2021-12-14
I230883,pekkld9bc8,Male,63,Books,2,30.3,Credit Card,2021-04-29
I118075,xhrh2mljwl,Male,46,Toys,5,179.2,Debit Card,2022-11-18
I327623,d2n99icfua,Female,49,Cosmetics,3,121.98,Debit Card,2021-10-25
I139638,olwiy6s5po,Male,36,Books,3,45.45,Credit Card,2021-05-28
I519628,fkfjvgurfn,Male,48,Food & Beverage,5,26.15,Cash,2023-01-08
I313396,e0uqtysqta,Female,34,Food & Beverage,5,26.15,Debit Card,2021-03-22
I320678,nksiigs4kk,Male,59,Food & Beverage,2,10.46,Debit Card,2021-04-06
I332984,bl4kvvxooz,Male,19,Toys,5,179.2,Debit Card,2022-03-23
I286268,0tsebzhbss,Female,33,Toys,2,71.68,Cash,2023-02-23
I249809,53s5emdxlw,Male,62,Clothing,3,900.24,Cash,2021-02-24
I320402,fgnxzbygns,Male,46,Shoes,3,1800.51,Credit Card,2021-08-06
I304479,kpny5wl0er,Female,56,Souvenir,2,23.46,Cash,2022-03-01
I320483,w9yb3umqrc,Female,57,Shoes,2,1200.34,Debit Card,2021-06-03
I144145,7hgojlvt78,Female,59,Shoes,4,2400.68,Credit Card,2022-06-25
I114381,ackpsyzuar,Male,19,Shoes,5,3000.85,Cash,2022-06-21
I190492,so97yv7pfi,Female,65,Food & Beverage,4,20.92,Credit Card,2022-01-25
I167412,o8kpn2imrw,Female,28,Toys,2,71.68,Credit Card,2021-09-03
I233749,qubjpgpwsx,Male,21,Technology,4,4200.0,Credit Card,2021-01-12
I116934,fq6niuwz40,Female,68,Cosmetics,4,162.64,Cash,2022-09-19
I173174,aft2mpldic,Female,64,Technology,1,1050.0,Debit Card,2021-07-28
I100419,isoed10xz6,Male,53,Souvenir,2,23.46,Credit Card,2022-04-21
I158386,e2ajjlwbvs,Female,39,Food & Beverage,1,5.23,Cash,2021-01-28
I272857,xxkwch3pqx,Female,29,Food & Beverage,1,5.23,Cash,2021-01-19
I326661,k0hpimumi1,Male,48,Books,3,45.45,Credit Card,2021-12-19
I104418,abkvmumd2i,Male,48,Clothing,3,900.24,Cash,2022-05-09
I255672,dzeahzrxax,Female,66,Toys,2,71.68,Cash,2021-09-19
I546991,coyx0iq103,Female,30,Food & Beverage,3,15.69,Debit Card,2022-09-21
I186115,mf7smusmiw,Male,38,Cosmetics,5,203.3,Debit Card,2021-02-11
I312577,vj63nuswbz,Female,57,Books,5,75.75,Cash,2023-02-14
I280709,udqfh9dqzu,Female,47,Toys,3,107.52,Cash,2022-10-18
I928949,gfn44gpokc,Female,32,Food & Beverage,5,26.15,Credit Card,2022-03-08
I170254,ofdgrsudpg,Female,35,Shoes,2,1200.34,Cash,2023-03-05
I278795,vt4887zzrc,Female,32,Cosmetics,4,162.64,Cash,2021-07-27
I331642,drw6rq9nqr,Male,67,Souvenir,5,58.65,Debit Card,2021-11-26
I273064,ola0u2fnw8,Female,54,Clothing,5,1500.4,Cash,2022-12-25
I206507,gii8xyezcy,Male,59,Food & Beverage,2,10.46,Cash,2022-11-27
I326627,uoohhpfmb0,Female,46,Clothing,4,1200.32,Credit Card,2021-12-21
I231691,pi3inrcf5b,Male,68,Cosmetics,2,81.32,Credit Card,2022-12-05
I116888,roca3zcdri,Male,26,Food & Beverage,4,20.92,Debit Card,2021-02-15
I260341,cuiwm20nhu,Female,21,Cosmetics,2,81.32,Debit Card,2021-04-08
I441811,cv2eihp3yt,Female,66,Clothing,5,1500.4,Credit Card,2021-03-30
I249467,ronoptksmt,Female,65,Toys,5,179.2,Cash,2022-06-30
I286904,la9dqj45k7,Female,19,Clothing,3,900.24,Debit Card,2022-01-01
I265935,w7uwfwtgqt,Female,52,Souvenir,3,35.19,Debit Card,2021-04-12
I122480,sn6lla8phe,Female,41,Technology,5,5250.0,Debit Card,2022-05-17
I289426,q3ysyz5epg,Male,29,Food & Beverage,5,26.15,Cash,2021-08-28
I305371,05vy9q75y9,Male,44,Cosmetics,1,40.66,Cash,2022-09-06
I232920,jw11zy46gg,Female,55,Clothing,4,1200.32,Credit Card,2022-10-12
I123353,xeoxi02uok,Female,58,Clothing,4,1200.32,Cash,2021-11-20
I138771,f2eiqzmnhl,Male,48,Clothing,3,900.24,Credit Card,2021-03-13
I246016,6bpvdv9ty6,Female,54,Cosmetics,2,81.32,Cash,2022-06-01
I288454,imqo8h3ylt,Male,36,Clothing,3,900.24,Cash,2022-04-06
I185623,cojirmi1xz,Male,51,Clothing,5,1500.4,Cash,2022-05-07
I310116,xqjxvpkiaq,Female,40,Cosmetics,3,121.98,Debit Card,2021-10-08
I130266,jzbkrtdxyl,Female,47,Technology,2,2100.0,Credit Card,2021-12-15
I210210,zf6y1oex0y,Female,18,Cosmetics,3,121.98,Cash,2021-03-31
I159660,ttqwhpgvkq,Female,50,Clothing,2,600.16,Cash,2021-04-11
I110805,qgz462v4oa,Female,31,Clothing,4,1200.32,Credit Card,2021-02-26
I245790,keizsp6dxo,Male,29,Cosmetics,4,162.64,Cash,2021-02-02
I311977,rut8o3suqo,Male,52,Cosmetics,5,203.3,Credit Card,2022-03-09
I667382,dahmxx37rf,Male,37,Technology,1,1050.0,Cash,2022-02-25
I141099,xo6h90zune,Male,40,Souvenir,4,46.92,Cash,2022-04-12
I120223,wsjrxesaer,Female,58,Shoes,1,600.17,Cash,2022-01-03
I292533,qwnomlnlr6,Female,54,Cosmetics,2,81.32,Cash,2022-04-30
I107881,nyockgr83o,Male,19,Cosmetics,2,81.32,Debit Card,2021-01-04
I592848,vqusgpfves,Male,41,Clothing,1,300.08,Credit Card,2021-06-14
I250310,9db5sxhicx,Male,33,Food & Beverage,5,26.15,Credit Card,2022-06-03
I256395,4h9nxsvdjp,Male,44,Cosmetics,2,81.32,Credit Card,2022-08-25
I190972,5jlk5dft66,Female,33,Clothing,4,1200.32,Cash,2022-06-27
I324045,jlmq9t3blh,Male,34,Clothing,2,600.16,Cash,2023-01-12
I164501,ocmlwxjube,Male,48,Food & Beverage,4,20.92,Credit Card,2022-12-06
I202630,e7kpzeut3c,Female,40,Toys,3,107.52,Credit Card,2022-12-10
I220917,8k9lvyglhm,Male,38,Souvenir,1,11.73,Credit Card,2022-07-04
I888444,qfnp7ak2ox,Male,60,Clothing,1,300.08,Credit Card,2023-01-24
I122556,64uldtyb2l,Female,18,Cosmetics,4,162.64,Credit Card,2022-03-12
I311614,ijqmhbdfk3,Male,28,Souvenir,2,23.46,Cash,2022-09-20
I162646,zxmyfto0sk,Male,53,Technology,2,2100.0,Cash,2021-08-14
I300562,a8nvjthbze,Male,65,Clothing,1,300.08,Cash,2021-05-11
I699750,ucqmo7je7w,Male,33,Books,1,15.15,Cash,2021-09-29
I164130,q1kafox10a,Male,27,Food & Beverage,2,10.46,Credit Card,2022-08-05
I172436,4zb8gfrgi7,Female,38,Food & Beverage,2,10.46,Credit Card,2022-04-24
I243759,pduqv2dhwm,Male,58,Souvenir,1,11.73,Cash,2022-06-13
I332418,vplizxwwxv,Female,35,Clothing,5,1500.4,Credit Card,2021-09-17
I177572,fgqr12wo5o,Male,50,Food & Beverage,4,20.92,Debit Card,2021-03-15
I331347,f5i4emmsfh,Male,67,Food & Beverage,3,15.69,Credit Card,2021-02-03
I158198,b9f1asvaaj,Female,29,Shoes,2,1200.34,Debit Card,2023-01-15
I270101,s7shnnxtxt,Male,66,Food & Beverage,5,26.15,Cash,2022-12-02
I780718,ruccfhamhm,Female,29,Clothing,3,900.24,Debit Card,2021-05-29
I301670,vqusgpfves,Female,50,Cosmetics,1,40.66,Debit Card,2022-05-17
I249425,jisvrsvukh,Male,27,Shoes,2,1200.34,Credit Card,2022-03-25
I273833,wfcmy6mfgb,Female,55,Cosmetics,2,81.32,Cash,2021-12-17
I186152,1cio82igho,Female,69,Clothing,1,300.08,Debit Card,2022-01-03
I195740,f6icqqd2u3,Female,57,Shoes,4,2400.68,Credit Card,2022-06-01
I229890,tamm4xgfsi,Male,57,Food & Beverage,3,15.69,Credit Card,2021-04-13
I215229,cs5ab2nomb,Female,53,Cosmetics,5,203.3,Debit Card,2021-11-10
I201542,hnxnlpfq2n,Male,18,Souvenir,1,11.73,Credit Card,2022-02-28
I308343,oxgfmtddlb,Female,57,Cosmetics,2,81.32,Credit Card,2023-01-18
I125399,mvroqavznm,Male,36,Shoes,2,1200.34,Cash,2022-08-28
I951538,7jtpbmpidn,Female,51,Cosmetics,3,121.98,Credit Card,2021-11-11
I250738,yzgak6sqer,Female,32,Clothing,1,300.08,Debit Card,2022-02-17
I211353,ptsivbycyl,Male,18,Clothing,2,600.16,Cash,2022-08-06
I141086,j2oxsvfist,Female,57,Clothing,2,600.16,Cash,2021-12-10
I115503,vpkb1totro,Female,49,Souvenir,2,23.46,Debit Card,2022-11-22
I385057,ll5zkq2f5l,Male,30,Toys,2,71.68,Cash,2021-11-19
I149911,nezoucuwb7,Female,22,Cosmetics,3,121.98,Credit Card,2021-03-01
I169982,wqv8u8arvj,Female,62,Clothing,3,900.24,Cash,2022-04-19
I285307,alghpni3wa,Male,65,Clothing,5,1500.4,Cash,2022-05-31
I254982,ugvn5pioqe,Male,24,Clothing,3,900.24,Debit Card,2021-02-05
I511993,poft4hgrcu,Male,61,Food & Beverage,4,20.92,Cash,2021-06-19
I140168,opdzhrmvqf,Female,28,Toys,1,35.84,Credit Card,2022-07-26
I159251,lqq4bcj9v4,Female,33,Souvenir,5,58.65,Credit Card,2021-03-28
I320555,k2bpzywzd9,Female,24,Books,3,45.45,Credit Card,2021-04-19
I284482,gkq3gv55y4,Female,47,Souvenir,5,58.65,Cash,2022-06-29
I180892,wbsjcx5jxg,Female,27,Toys,3,107.52,Debit Card,2021-02-15
I939957,nmjgjyhk9f,Male,38,Shoes,3,1800.51,Credit Card,2022-10-16
I130654,0ggcefc3mn,Male,61,Clothing,2,600.16,Credit Card,2022-01-31
I238634,7fk4ipmiqq,Female,37,Shoes,3,1800.51,Credit Card,2021-05-21
I384345,at39g7inrl,Female,44,Cosmetics,1,40.66,Cash,2022-06-24
I514925,auokht6wpi,Female,61,Clothing,3,900.24,Credit Card,2021-04-08
I280167,so6diw9pp2,Female,37,Food & Beverage,5,26.15,Cash,2022-09-28
I172149,p1cf4ypef9,Female,67,Clothing,1,300.08,Credit Card,2022-05-08
I640591,wo6ngw7wm2,Female,59,Clothing,1,300.08,Credit Card,2021-04-11
I574453,mmizgs089y,Female,34,Souvenir,4,46.92,Debit Card,2021-01-24
I468204,aslgvgou9z,Female,28,Toys,1,35.84,Credit Card,2022-10-07
I183336,9d4ywziqmj,Female,46,Clothing,4,1200.32,Debit Card,2021-12-31
I158586,fhztm2cmtr,Female,42,Technology,2,2100.0,Credit Card,2022-11-26
I338758,qbsx3bojpy,Female,64,Clothing,2,600.16,Debit Card,2021-11-27
I329629,2yo8lnwsiq,Female,63,Clothing,2,600.16,Cash,2021-12-16
I212685,v7e8oswkar,Female,51,Clothing,5,1500.4,Credit Card,2022-05-25
I165713,f2fgbqdg70,Male,54,Toys,3,107.52,Credit Card,2022-04-12
I563526,ezgtbbk25l,Female,36,Clothing,5,1500.4,Credit Card,2021-07-10
I228009,q45ek5clns,Female,68,Clothing,4,1200.32,Credit Card,2022-03-31
I835342,v5r8gsyr0p,Female,69,Clothing,5,1500.4,Cash,2021-03-21
I414836,pmwtyz5qrb,Male,33,Shoes,3,1800.51,Debit Card,2021-12-09
I974251,kdwumwesci,Female,40,Clothing,5,1500.4,Cash,2022-09-09
I405751,soknatifke,Female,28,Clothing,2,600.16,Cash,2021-01-06
I207357,pbmpc5kob4,Female,23,Clothing,5,1500.4,Debit Card,2022-04-01
I115568,xbercuvj2z,Male,55,Clothing,2,600.16,Debit Card,2022-01-31
I287238,5njlemn3wm,Male,57,Cosmetics,4,162.64,Credit Card,2022-10-21
I102944,3wiyggcgak,Male,33,Cosmetics,2,81.32,Cash,2021-12-03
I593170,zs1ie9l2rq,Female,43,Clothing,1,300.08,Credit Card,2022-08-05
I175770,l7j1wxcjvv,Male,63,Clothing,3,900.24,Cash,2023-01-16
I242260,wajpanpvvj,Female,39,Clothing,2,600.16,Cash,2021-08-10
I292432,mej4pfbgmv,Male,24,Clothing,3,900.24,Credit Card,2022-09-23
I272427,3isj1hosj9,Female,54,Shoes,4,2400.68,Credit Card,2023-02-19
I218310,4umswim4xk,Male,56,Clothing,1,300.08,Credit Card,2021-09-28
I243217,vltcfq7rmc,Male,63,Cosmetics,4,162.64,Cash,2021-04-08
I236401,0ckkyjhzwz,Female,48,Souvenir,1,11.73,Credit Card,2022-05-13
I560080,3yjrrfh3zn,Male,56,Shoes,5,3000.85,Cash,2022-01-30
I236132,1hhxswqwn3,Female,21,Books,5,75.75,Cash,2021-03-02
I106655,5wka8kybqg,Female,58,Souvenir,5,58.65,Cash,2022-05-30
I329884,d5ipjwawdr,Female,19,Clothing,2,600.16,Cash,2022-09-20
I341033,9gfw0oubkd,Female,38,Cosmetics,1,40.66,Debit Card,2021-11-25
I249599,fbmyqzmfmw,Male,22,Food & Beverage,2,10.46,Cash,2022-09-27
I803082,qgvuqcq5ha,Female,59,Food & Beverage,3,15.69,Credit Card,2021-01-19
I201657,kffqxzayz9,Female,19,Food & Beverage,4,20.92,Debit Card,2021-03-06
I306853,w2wg8yqn5w,Male,27,Cosmetics,3,121.98,Credit Card,2022-04-06
I329543,ci1jb4i8yp,Female,51,Clothing,5,1500.4,Credit Card,2023-01-04
I115791,kmm1enjmkh,Female,23,Food & Beverage,4,20.92,Cash,2021-08-15
I818552,qpdokqdbqy,Female,45,Toys,1,35.84,Cash,2022-09-22
I204041,s10ye73m51,Male,43,Toys,5,179.2,Debit Card,2021-03-31
I195870,r0ob7pl7mq,Male,40,Clothing,5,1500.4,Credit Card,2022-10-23
I114244,m0tnvirwxp,Female,48,Food & Beverage,5,26.15,Credit Card,2022-10-02
I330621,5khaogv9j8,Male,32,Shoes,1,600.17,Cash,2021-09-27
I158065,dn0vpvggxi,Female,42,Souvenir,3,35.19,Cash,2021-09-21
I886734,ysgk6q2kpn,Female,51,Clothing,1,300.08,Debit Card,2021-09-29
I181228,2znlkrknsg,Female,63,Food & Beverage,2,10.46,Debit Card,2022-02-17
I260272,dlf4mg8dhu,Female,31,Clothing,2,600.16,Debit Card,2023-02-04
I245150,bsmxqhxkpi,Male,25,Clothing,4,1200.32,Cash,2022-06-09
I293987,rb3bvs2ori,Male,28,Food & Beverage,4,20.92,Credit Card,2022-08-20
I156838,qi0yluughp,Male,52,Clothing,4,1200.32,Cash,2022-12-20
I563195,mzmqiotzes,Male,64,Clothing,1,300.08,Credit Card,2021-10-20
I219457,7s0nxbr2nu,Male,68,Cosmetics,4,162.64,Cash,2021-02-02
I193925,kdmbauuugc,Female,43,Cosmetics,1,40.66,Cash,2022-04-13
I126063,7128mu2ijz,Male,53,Shoes,2,1200.34,Debit Card,2022-03-09
I227993,fmaq9tfiwp,Male,38,Cosmetics,1,40.66,Cash,2022-06-11
I647015,5sa0oavc1y,Male,59,Cosmetics,2,81.32,Cash,2021-09-11
I125265,j31zsvshvx,Female,38,Clothing,2,600.16,Debit Card,2021-06-01
I242914,3motn4ypnr,Female,33,Food & Beverage,3,15.69,Credit Card,2021-05-23
I805271,tb1wr6qo3o,Female,30,Clothing,5,1500.4,Cash,2021-03-11
I222042,rixvgnebco,Male,53,Clothing,5,1500.4,Cash,2022-09-25
I201944,j29goufzcd,Female,24,Clothing,4,1200.32,Credit Card,2021-10-14
I154038,nle5yfnfks,Female,65,Food & Beverage,2,10.46,Credit Card,2022-10-23
I296201,jacjurgxea,Female,20,Clothing,1,300.08,Debit Card,2022-05-20
I976072,pf1sz1lztp,Female,66,Clothing,1,300.08,Credit Card,2022-03-10
I229447,a3yb3mxyy2,Female,37,Souvenir,3,35.19,Debit Card,2021-06-13
I240605,2novacc4ou,Female,49,Cosmetics,1,40.66,Credit Card,2022-09-10
I164729,ymf7aqyl9i,Female,31,Clothing,2,600.16,Cash,2021-10-27
I183355,ddxbacqk4j,Male,18,Clothing,4,1200.32,Cash,2021-08-06
I163568,ryobpanrc4,Female,61,Toys,4,143.36,Credit Card,2021-08-21
I243884,zztvmt0ggt,Female,34,Shoes,1,600.17,Cash,2022-07-22
I326437,idgj0pwqnr,Female,51,Clothing,2,600.16,Credit Card,2022-09-16
I232335,7eghoykejd,Male,48,Clothing,5,1500.4,Credit Card,2022-01-15
I287730,zl6e3djm4c,Female,18,Clothing,2,600.16,Credit Card,2022-12-01
I652723,cm3sfagiid,Male,42,Cosmetics,4,162.64,Cash,2022-07-13
I136354,ihu56a0mda,Male,22,Books,2,30.3,Credit Card,2021-11-28
I202180,kue4lh0iwg,Female,46,Shoes,2,1200.34,Cash,2022-06-07
I143346,gwi1dvi1bs,Male,54,Technology,5,5250.0,Credit Card,2021-09-12
I234518,2xkizrttsr,Female,29,Clothing,3,900.24,Cash,2022-05-21
I757656,m5i2gepdll,Male,32,Books,1,15.15,Credit Card,2023-02-23
I163506,bshvkdsvzw,Male,34,Food & Beverage,1,5.23,Cash,2021-10-17
I117289,skdusslkt8,Female,28,Toys,3,107.52,Cash,2022-12-11
I975653,vs3in4nu8h,Male,22,Toys,3,107.52,Cash,2022-11-11
I354494,8obrq9i3rv,Female,38,Toys,3,107.52,Debit Card,2021-05-13
I438897,74hyqlarto,Female,46,Souvenir,4,46.92,Debit Card,2022-09-27
I266901,r8uch6cxoh,Female,42,Clothing,1,300.08,Cash,2021-12-03
I301148,br0n251ino,Male,36,Toys,2,71.68,Debit Card,2021-06-14
I292704,nygcjpk1vf,Female,43,Cosmetics,5,203.3,Credit Card,2021-05-06
I641958,aevk877srv,Female,27,Food & Beverage,2,10.46,Debit Card,2021-02-24
I228023,8x5njnfzge,Female,30,Cosmetics,5,203.3,Cash,2022-07-22
I275581,6nrjjrmbdg,Male,20,Cosmetics,3,121.98,Cash,2022-04-04
I211497,ib6afqylj9,Male,63,Shoes,4,2400.68,Debit Card,2022-03-07
I796143,kvph9rbgva,Female,67,Books,4,60.6,Cash,2021-03-01
I318003,kl512gs2ma,Female,46,Toys,2,71.68,Cash,2021-01-30
I270380,ktwdf7nmcm,Male,56,Shoes,1,600.17,Credit Card,2022-01-09
I986679,4xh2esx9v7,Female,37,Souvenir,3,35.19,Cash,2022-08-03
I290174,ofo9rtalaa,Male,46,Clothing,1,300.08,Cash,2021-08-08
I300463,m0u8lkr2i9,Male,23,Clothing,1,300.08,Debit Card,2021-06-10
I236061,8tndxcd3ep,Male,27,Cosmetics,4,162.64,Credit Card,2023-02-02
I102989,8g6cewga1t,Female,67,Shoes,2,1200.34,Cash,2021-03-01
I382027,iiccz5vxko,Male,21,Cosmetics,2,81.32,Credit Card,2021-01-08
I285647,0okski6gy3,Male,42,Clothing,5,1500.4,Cash,2021-03-12
I233676,c9teypxeol,Male,52,Toys,5,179.2,Cash,2022-09-28
I117314,bhmvazrqdn,Male,62,Souvenir,5,58.65,Credit Card,2022-04-10
I497990,1ozhd3ejqp,Female,37,Food & Beverage,3,15.69,Credit Card,2022-04-13
I152534,thcktg72mn,Female,41,Food & Beverage,3,15.69,Credit Card,2021-10-30
I331117,znud6vkxa5,Female,66,Cosmetics,2,81.32,Debit Card,2021-03-10
I314263,jcnmfdqf4h,Male,55,Shoes,3,1800.51,Credit Card,2022-04-13
I514630,eqto3h2mi7,Female,33,Clothing,4,1200.32,Debit Card,2022-12-28
I193755,ow1a2b4pif,Female,30,Food & Beverage,4,20.92,Credit Card,2022-11-02
I841810,l4gjepc3pj,Female,39,Clothing,4,1200.32,Credit Card,2021-07-06
I165896,cdowatopx9,Female,50,Food & Beverage,3,15.69,Credit Card,2022-04-11
I860770,f43myqrabc,Female,42,Technology,2,2100.0,Credit Card,2021-06-01
I279333,v7zftbnnls,Female,20,Toys,2,71.68,Credit Card,2022-12-31
I100651,0dfiqrvlgk,Female,41,Cosmetics,2,81.32,Credit Card,2021-09-15
I117039,evhwdathh0,Male,63,Clothing,2,600.16,Debit Card,2022-10-29
I191752,s4tp4znxyx,Female,68,Food & Beverage,3,15.69,Debit Card,2022-07-28
I407302,bhkeaw4oj2,Female,23,Clothing,4,1200.32,Credit Card,2022-08-03
I240153,uqzmorfo5t,Male,43,Food & Beverage,3,15.69,Cash,2022-09-06
I322161,ohfaqpfqpb,Male,39,Clothing,1,300.08,Debit Card,2021-08-19
I226793,unana1u0jp,Male,62,Cosmetics,5,203.3,Credit Card,2021-10-02
I816556,vjh1p3tpoc,Male,23,Food & Beverage,3,15.69,Credit Card,2023-01-23
I265756,bi3uhba9wt,Male,55,Books,3,45.45,Debit Card,2021-03-18
I128463,qvxqywvvwr,Female,38,Technology,1,1050.0,Debit Card,2021-08-20
I296895,zhnbyui7fz,Male,68,Cosmetics,1,40.66,Cash,2021-05-19
I212706,klzg8xgtjo,Male,60,Cosmetics,2,81.32,Credit Card,2021-03-06
I270480,o1fvw125f6,Male,58,Shoes,4,2400.68,Cash,2021-09-03
I735721,aztcxjcvfz,Male,43,Clothing,1,300.08,Credit Card,2022-12-07
I663159,fnrvpoluhl,Female,28,Shoes,1,600.17,Cash,2021-11-16
I189442,dmtgulr58b,Male,40,Food & Beverage,1,5.23,Credit Card,2021-09-25
I182288,vphnbf1fmh,Male,42,Clothing,3,900.24,Cash,2021-02-03
I214629,xkt7qo856f,Female,26,Cosmetics,4,162.64,Cash,2021-04-26
I234510,imawuex6ce,Male,28,Clothing,3,900.24,Cash,2022-08-13
I325164,qauuvk4ykd,Female,34,Clothing,2,600.16,Cash,2021-09-12
I125014,idxe0am5i5,Male,20,Toys,1,35.84,Cash,2022-02-17
I157262,qchj62vh86,Male,29,Clothing,2,600.16,Cash,2022-05-08
I213157,ceio2q0amx,Male,60,Clothing,2,600.16,Debit Card,2022-03-27
I245593,gctvfaci8z,Male,27,Souvenir,2,23.46,Credit Card,2022-06-09
I208400,yvnbkf92vi,Female,38,Technology,3,3150.0,Debit Card,2023-01-28
I210068,6bunuj0b1v,Male,32,Food & Beverage,3,15.69,Credit Card,2022-10-14
I330064,rfz6plcxvu,Female,38,Books,5,75.75,Cash,2022-02-13
I110521,genddj4oid,Male,64,Shoes,5,3000.85,Credit Card,2021-11-22
I108914,akobfp39jo,Female,68,Souvenir,4,46.92,Credit Card,2022-05-02
I284672,qb0sthtqgd,Female,52,Food & Beverage,5,26.15,Cash,2021-02-22
I566962,9gakemz9dz,Female,25,Clothing,5,1500.4,Cash,2021-05-09
I398407,eid3hknsjc,Female,39,Clothing,1,300.08,Credit Card,2022-07-04
I356487,9sxyimcfua,Female,68,Food & Beverage,2,10.46,Cash,2021-11-22
I129814,df3ur5aqde,Female,51,Technology,1,1050.0,Debit Card,2022-10-19
I820318,wb5ocv7sve,Female,33,Clothing,2,600.16,Cash,2021-03-23
I718728,bdhy3220ga,Male,21,Clothing,3,900.24,Cash,2021-04-25
I167633,abs9uuvpxq,Male,31,Clothing,3,900.24,Cash,2021-06-30
I730609,epqqwasw8v,Female,69,Clothing,1,300.08,Debit Card,2023-02-25
I221776,i6iklycrwj,Male,58,Food & Beverage,4,20.92,Cash,2021-03-27
I136390,pzh7clmdxy,Male,36,Cosmetics,4,162.64,Debit Card,2021-05-02
I265468,9f2xxew5fo,Female,41,Souvenir,2,23.46,Cash,2022-12-20
I286374,hgunw1olsa,Female,43,Souvenir,4,46.92,Cash,2022-06-20
I289371,3eosj0e6hu,Male,50,Technology,4,4200.0,Cash,2023-02-25
I313765,b2jzfyicl1,Male,65,Cosmetics,4,162.64,Debit Card,2022-03-03
I286265,2mfcmqufpp,Male,22,Toys,4,143.36,Cash,2021-06-29
I271650,aqmfeqmlua,Male,40,Cosmetics,2,81.32,Cash,2022-11-27
I212989,1ec93vrgkt,Male,57,Toys,5,179.2,Credit Card,2021-11-17
I189459,404nbbtk2i,Male,24,Shoes,4,2400.68,Cash,2021-02-13
I144746,5cpqcbnyjp,Female,68,Food & Beverage,1,5.23,Cash,2022-11-01
I275032,21hjubnx1x,Male,35,Clothing,1,300.08,Cash,2021-10-14
I266497,y1hwy3jvav,Female,48,Food & Beverage,5,26.15,Debit Card,2021-11-09
I122561,jvidg3w6jp,Female,61,Toys,3,107.52,Debit Card,2022-03-14
I168722,fztzta3vrq,Female,21,Food & Beverage,5,26.15,Cash,2021-01-18
I113345,annuwmigvb,Male,23,Cosmetics,2,81.32,Cash,2021-02-23
I810804,hsnzvcib3t,Female,43,Food & Beverage,3,15.69,Cash,2021-08-22
I118220,tw9mn9mi3q,Female,44,Clothing,2,600.16,Credit Card,2022-10-26
I147175,qrsnski2zs,Female,19,Shoes,1,600.17,Cash,2022-12-13
I265462,lmwamrvhw7,Female,27,Food & Beverage,1,5.23,Credit Card,2022-05-25
I339170,6fhyutqkvn,Male,32,Food & Beverage,3,15.69,Credit Card,2021-01-02
I316364,t0gau3ics5,Male,60,Clothing,5,1500.4,Debit Card,2021-12-31
I138206,kvn1ormsev,Female,28,Cosmetics,2,81.32,Cash,2021-12-13
I258419,zfvpxdvjz1,Female,62,Shoes,2,1200.34,Cash,2022-06-15
I309662,kdtnm5n5zi,Female,48,Food & Beverage,3,15.69,Credit Card,2022-02-07
I233565,fwdntfhmtt,Male,19,Shoes,1,600.17,Debit Card,2022-05-11
